precursor,fragment,ion,standard_ion,CTRL_p1_1,CTRL_p1_2,CTRL_p1_3,Lyso0min_p1_1,Lyso0min_p1_2,Lyso0min_p1_3,Lyso10min_p1_1,Lyso10min_p1_2,Lyso10min_p1_3,Lyso20min_p1_1,Lyso20min_p1_2,Lyso20min_p1_3,Lyso5min_p1_1,Lyso5min_p1_2,Lyso5min_p1_3
744.55,603.575,PE36:2,PE31:1,51304.54,52064.635,47707.435,58041.195,46742.445,50371.34,52689.41,51277.35,56069.33,61097.615,60923.62,57992.98,61963.335,56296.6,51653.295
744.59,184.105,PC(O-)34:2,DLPC,13422.535,13780.505,11004.265,12708.055,11335.185,12376.935,12286.205,13641.47,14316.37,13187.675,13312.76,14199.96,15534.72,13855.75,13948.005
746.57,605.585,PE36:1,PE31:1,20105.175,18026.69,20168.415,29059.1,19028.42,20269.17,21068.13,19009.33,22352.45,24725.97,24119.94,23624.83,26068.86,21055.015,19894.195
746.61,184.105,PC(O-)34:1,DLPC,60763.06,61976.78,50493.12,60099.78,52550.85,57048.325,54604.645,63725.715,62049.99,60338.58,61802.19,64446.54,74636.29,61350.645,60664.785
748.59,607.605,PE36:0,PE31:1,1354.845,1155.4,1245.45,1783.745,1219.205,1253.35,1251.515,1185.645,1279.87,1592.095,1691.24,1525.49,1573.635,1343.68,1270.78
748.62,184.105,PC(O-)34:0,DLPC,8462.935,8225.41,7605.38,9308.77,7154.81,8269.345,7794.705,8539.895,8458.38,8138.215,8523.51,9072.45,9715.06,8419.935,8579.455
750.51,184.105,PC34:6,DLPC,424.03,387.36,372.53,445.065,348.88,395.97,363.055,395.75,402.71,420.56,380.68,403.43,471.235,406.405,404.29
750.54,609.555,PE(O-)38:6,PE31:1,309.835,312.845,264.935,363.215,285.735,315.015,308.63,327.47,360.46,424.82,325.9,366.96,373.965,348.055,329.19
752.52,184.105,PC34:5,DLPC,51.755,51.13,46.6,52.255,42.06,47.085,40.37,45.61,46.65,48.35,32.18,44.51,60.83,46.4,46.33
752.56,611.575,PE(O-)38:5,PE31:1,419.325,397.7,359.86,496.915,410.68,450.145,508.63,471.05,519.66,563.66,448.52,510.37,569.01,518.085,489.175
754.54,184.105,PC34:4,DLPC,194.8,208.49,168.755,187.73,159.36,175.14,171.995,181.72,178.57,154.045,134.3,174.6,203.83,185.21,185.465
754.58,613.595,PE(O-)38:4,PE31:1,338.06,344.065,301.665,371.56,325.315,347.315,371.075,353.745,385.64,438.935,351.09,384.58,422.645,394.795,386.175
756.55,184.105,PC34:3,DLPC,2246.185,2409.645,1997.045,2061.41,1966.56,2097.86,2026.38,2221.095,2121.08,2220.015,1922.09,2158.69,2477.84,2261.605,2275.36
756.59,615.605,PE(O-)38:3,PE31:1,190.08,178.845,187.18,231.5,174.325,190.055,206.87,175.27,212.9,263.315,190.09,197.45,221.805,206,198.96
758.57,184.105,PC34:2,DLPC,75003.03,77730.705,67324.275,76655.555,66292.955,74692.935,64266.465,74372.325,76288.51,74004.885,58403.83,74048.38,82030.82,76503.675,77773.585
758.61,617.625,PE(O-)38:2,PE31:1,482.18,432.405,435.325,592.14,451.61,490.875,498.44,488.065,507.18,583.33,507.17,554.51,592.385,494.235,505.92
