precursor,fragment,ion,standard_ion,CTRL_p1_1,CTRL_p1_2,CTRL_p1_3,Lyso0min_p1_1,Lyso0min_p1_2,Lyso0min_p1_3,Lyso10min_p1_1,Lyso10min_p1_2,Lyso10min_p1_3,Lyso20min_p1_1,Lyso20min_p1_2,Lyso20min_p1_3,Lyso5min_p1_1,Lyso5min_p1_2,Lyso5min_p1_3
850.63,709.645,PE44:5,PE31:1,47.47,45.245,46.525,53.23,48.23,40.54,43.74,41.045,45.89,48.535,55.79,43.22,47.235,59.22,38.055
850.67,184.105,PC(O-)42:5,DLPC,84.545,94.925,84.895,87.61,68.28,68.995,68.495,78.675,80.63,82.435,73.19,83.17,98.865,75.5,67.205
852.65,711.665,PE44:4,PE31:1,14.305,15.145,17.525,24.675,14.09,11.395,15.86,10.065,16.54,21.06,16.68,17.04,17.995,19.07,10.13
852.68,184.105,PC(O-)42:4,DLPC,50.585,57.235,74.755,52.11,32.225,43.25,35.575,41.68,65.67,45.31,40.67,43.7,67.34,37.755,31.35
854.66,713.675,PE44:3,PE31:1,9.155,10.58,11.445,14.415,8.165,6.175,10.425,5.335,9.6,11.56,0,10.3,10.655,7.66,5.19
854.7,184.105,PC(O-)42:3,DLPC,40.93,40.52,55.095,38.005,27.77,34.93,29.805,32.97,53.78,31.255,35.41,36.99,51.81,32.355,24.715
856.68,715.695,PE44:2,PE31:1,17.385,15.875,17.365,23.97,12.175,12.455,14.235,9.12,16.15,15.515,0,14.24,20.23,12.885,10.17
856.72,184.105,PC(O-)42:2,DLPC,37.785,38.57,39.19,46.245,28.355,33.515,31.63,34.55,45.72,37.04,35.61,36.17,49.655,34.66,28
858.7,717.715,PE44:1,PE31:1,7.525,6.935,10.86,10.455,3.905,4.945,5.505,3.51,6.93,15.675,0,4.63,5.72,4.195,2.42
858.73,184.105,PC(O-)42:1,DLPC,22.46,24.775,24.265,31.35,18.62,20.99,20.285,20.005,26.02,22.97,20.9,23.35,32.615,21.595,18.065
860.71,719.725,PE44:0,PE31:1,1.79,2.21,4.685,0.585,2.17,2.445,2.575,1.14,3.78,7.865,0,1.26,2.335,2.44,2.05
860.75,184.105,PC(O-)42:0,DLPC,35.12,39.015,36.895,41.295,31.535,34.36,29.845,34.04,31.45,33.56,28.23,34.54,44.32,34.725,31.655
862.63,184.105,PC42:6,DLPC,49.5,53.17,49.225,54.97,40.71,47.5,39.275,45.32,49.2,43.685,35.53,42.77,59.71,45.025,41.175
864.65,184.105,PC42:5,DLPC,27.87,30.73,30.995,33.185,23.385,26.385,24.205,26.415,27.86,26.555,23.49,28.09,37.425,26.26,23.275
866.66,184.105,PC42:4,DLPC,17.195,17.6,19.595,21,14.72,17.045,15.165,16.195,20.03,16.775,18.56,16.83,23.42,15.05,13.86
868.68,184.105,PC42:3,DLPC,52.46,56.835,54.505,64.87,43.63,48.955,49.415,53.595,61.11,54.415,50.48,56.91,73.045,50.92,47.005
870.7,184.105,PC42:2,DLPC,90.305,102.23,90.015,118.45,84.06,78.05,82.5,92.085,102.16,98.585,101.36,103.05,119.735,82.445,81.725
872.71,184.105,PC42:1,DLPC,40.5,46.575,40.24,53.39,33.975,32.785,35.385,34.67,40.11,46.445,45.83,45.58,55.17,36.445,32.53
874.73,184.105,PC42:0,DLPC,16.385,16.1,17.235,17.585,11.71,12.895,11.995,12.69,17.32,14.805,15.49,16.17,20.435,13.59,11.53
876.68,184.105,PC(O-)44:6,DLPC,21.97,21.975,29.455,22.265,16.265,18.115,16.09,18.37,27.77,21.525,24.2,19.69,26.955,17.1,13.66
878.7,184.105,PC(O-)44:5,DLPC,19.74,22.09,26.375,22.67,14.01,17.675,15.655,17.13,24.65,20.015,14.79,20.75,27.51,16.83,13.95
880.72,184.105,PC(O-)44:4,DLPC,11.5,12.5,15.98,13.33,8.595,9.905,8.955,9.925,14.75,12.18,9.69,11.43,16.01,9.9,7.755
882.73,184.105,PC(O-)44:3,DLPC,11.21,10.77,14.67,12.53,6.71,9.67,7.615,8.525,17.89,13.045,11.8,8.2,17.115,8.46,6.85
884.75,184.105,PC(O-)44:2,DLPC,9.835,10.3,11.965,13.89,7.115,8.425,7.79,9.335,14.49,12.375,10.17,10.54,14.665,9.06,6.915
886.76,184.105,PC(O-)44:1,DLPC,6.795,6.485,7.93,8.015,4.48,6.005,4.66,4.8,7.37,6.55,5.48,5.49,8.99,5.54,4.37
888.78,184.105,PC(O-)44:0,DLPC,6.045,6.335,6.78,6.9,4.455,5.83,4.405,4.805,6.91,5.51,2.96,5.05,8.57,6.555,4.405
890.66,184.105,PC44:6,DLPC,11.43,9.715,14.28,10.595,6.37,9.785,6.015,7.345,13.51,10.76,6.46,6.65,13.715,7.615,5.585
892.68,184.105,PC44:5,DLPC,9.225,9.14,13.57,11.045,5.64,8.01,6.75,7.625,9.04,9.77,6.91,7.08,12.55,6.34,5.46
894.7,184.105,PC44:4,DLPC,7.18,6.595,7.13,6.845,4.575,5.65,5.3,5.445,6.63,6.73,5.57,6.25,8.8,5.18,4.575
896.71,184.105,PC44:3,DLPC,20.825,21.715,19.94,26.31,15.82,16.25,18.66,18.805,21.44,22.355,23.52,24.87,27.2,20.65,16.895
898.73,184.105,PC44:2,DLPC,25.76,29.13,26.165,32.34,20.31,20.255,21.315,23.59,27.17,26.225,31.26,29.7,35.95,23.83,20.18
900.74,184.105,PC44:1,DLPC,9.505,9.94,10.1,13.94,7.365,7.985,7.76,7.745,9.94,10.515,11.18,10.38,14.165,8.745,7.205
902.76,184.105,PC44:0,DLPC,4.33,4.125,4.675,3.805,2.72,3.16,2.825,3.065,4.8,4.205,1.55,3.69,5.555,3.25,2.225
