precursor,fragment,ion,standard_ion,CTRL_n1_1,CTRL_n1_2,CTRL_n1_3,Lyso0min_n1_1,Lyso0min_n1_2,Lyso0min_n1_3,Lyso10min_n1_1,Lyso10min_n1_2,Lyso10min_n1_3,Lyso20min_n1_1,Lyso20min_n1_2,Lyso20min_n1_3,Lyso5min_n1_1,Lyso5min_n1_2,Lyso5min_n1_3
724.99,279.265,CL72:7_C18:2,CL56:0,14.165,14.225,11.54,11.45,12.225,14.115,11.39,13.545,11.51,11.38,12.63,9.47,13.16,14.445,14.445
724.99,281.285,CL72:7_C18:1,CL56:0,31.8,33.22,23.275,23.24,30.425,22.085,33.385,28.11,32.22,26.99,27.79,28.79,32.17,31.26,26.39
726,279.265,CL72:6_C18:2,CL56:0,61.425,60.295,54.725,48.215,52.055,56.22,60.155,62.615,64.22,59.46,54.945,54.175,66.42,58.145,52.205
726,281.285,CL72:6_C18:1,CL56:0,171.095,175.04,146.925,141.135,172.165,159.165,175.34,175.85,159.58,165.98,158.42,155.245,195.945,165.925,165.905
726.43,639.435,PS32:4,PS31:1,0.12,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0
727.01,279.265,CL72:5_C18:2,CL56:0,59.465,56.08,47.895,55.485,57,48.78,61.53,64.02,62.27,59.1,57.575,56.015,67.86,60.08,57.05
727.01,281.285,CL72:5_C18:1,CL56:0,334.59,307.785,278.02,319.05,332.22,334.22,363.09,366.82,371.62,371.68,351.48,341.83,370.01,369.07,373.65
727.01,283.295,CL72:5_C18:0,CL56:0,1.085,0.5,0.74,0,1.625,0,0.365,0.795,0,0.43,0.375,0,1.37,0,0.325
728.02,281.285,CL72:4_C18:1,CL56:0,209.74,207.34,148.68,205.175,197.555,182.4,249.505,225.37,244.17,231.01,212.105,247.06,226.98,233.77,219.42
728.45,641.455,PS32:3,PS31:1,0.315,0.215,0.165,0.13,0.44,0.15,0,0.17,0.43,0.07,0.135,0.185,0.195,0.05,0.265
730.47,643.465,PS32:2,PS31:1,7.295,12.23,9.01,7.285,9.28,7.915,7.93,7.28,7.29,6.635,7.26,11.98,8.195,7.215,8.455
732.48,645.485,PS32:1,PS31:1,2332.325,2365.125,1908.2,2014.39,2107.96,1967.445,2092.23,1960.225,2124.56,2064.54,1980.79,2060.73,2275.3,2159.265,1963.58
734.5,647.505,PS32:0,PS31:1,253.72,260.395,231.26,235.25,232.03,235.765,209.365,193.535,214.72,207.82,202.13,202.975,230.915,235.645,200.93
734.98,253.255,CL72:11_C16:1,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
